product,year,Exports,Imports
Vins de Bordeaux,1750,337000.0,
Vins divers,1750,69495.29980000001,675.0
"Bière, cidre et vinaigre",1750,704.0,21275.0
Sucre,1750,775235.3971200001,3527980.0
Étoffes de soie,1750,454130.0,
Safran,1750,900.0,
Ouvrages divers et mélangés,1750,64456.0,21087.9001
Cacao et chocolat,1750,3064.2,12258.0
Matières brutes et transformées pour teinture,1750,8949.1,78510.5998904
Gommes diverses,1750,150.0,165.0
Chairs et œufs,1750,72676.0,43494.0
Acier,1750,3346.0,14564.5
Alun,1750,742.20001,889.0
Fruits secs et noix,1750,6804.1001,
Ouvrages métalliques,1750,139118.90196999998,226782.29808
Pêche et fruits de mer,1750,5687.5,779547.0
Bâtiments de mer et apparaux,1750,678.5,24624.0
Matières premières diverses,1750,1225.0,44502.0
Argenterie et orfèvrerie,1750,400.0,
"Armes, munitions, poudre et pierres à fusil",1750,56446.399997,1920.0
Subsistances diverses et mélangées,1750,9417.29999,5421.5
Habits et lingerie,1750,30668.399999999998,230.0
Soieries diverses,1750,360.0,700.0
"Mousseline, basin et nankin",1750,30966.0,
Beurre,1750,23851.6,288078.5
Bonneterie hors soie,1750,6300.0,
Bouchons principalement en liège,1750,200.0,
"Bougies, chandelles et flambeaux",1750,13794.2,15167.49999
Verrerie,1750,33108.599998,4673.700009
Mercerie,1750,1386127.0,26093.0
"Brai, goudron et résines",1750,3696.5,20682.0
Étoffes de laine,1750,512715.199,120000.0
Cannelle,1750,48.0,3320.0
Cordonnerie et sellerie,1750,110970.0,
Toiles diverses,1750,31752.800099,64.0
Librairie,1750,10502.3,
Céruse et blanc de plomb,1750,25.0,7732.2998
Chanvre,1750,10093.3999,
Chapeaux hors paille et écorce,1750,12289.0,
Cire,1750,1800.0,
Quincaillerie,1750,227050.0096,8055.9
Cordage et filets,1750,65036.40002,
Fils divers,1750,25387.8,3272.09998
Textiles manufacturés divers et mélangés,1750,3760.0,
Poils et crin,1750,540.0,1528.5
Dentelles,1750,38270.0,1331.8
Dorure,1750,20700.0,
Drogues diverses,1750,4196.0,1223.0
Produits inconnus,1750,862.60001,7082.0
Denrées coloniales et épiceries diverses,1750,7250.5,1860.0
"Farine, gruau, biscuits et pâtes",1750,186086.0,14.5
"Faucilles, faux et limes",1750,857.70001,12629.70001
"Porcelaine, poterie, faïence et ouvrages de terre",1750,7624.10001,1499.5
Fer-blanc,1750,480.0,9974.5
Fer,1750,21.0,360.0
Légumes,1750,356.0,160.0
"Filoselle, fleuret et bourre de soie",1750,260.0,
Fromage,1750,4044.3999,111309.80020000001
Gants,1750,720.0,
Girofle,1750,360.0,12630.0
"Meubles, glaces et miroirs",1750,6650.0,964.0
Graines de jardin,1750,148.0,
Huiles diverses,1750,456.10001,19334.0
Huile d'olive à manger,1750,11496.6,
Bois divers hors combustible,1750,1681.39999,1610.0
Manne et médicaments,1750,3000.0,
"Alquifoux, mine de plomb et graphite",1750,90.0,2532.0
Châles et mouchoirs hors soie,1750,43987.5,7387.5
Muscades,1750,80.0,3690.5
Fruits frais,1750,1834.0,
Poivre et piment,1750,7058.7998,20935.5
Objets d'art et d'histoire naturelle,1750,116433.1,92236.602
Rubanerie et passementerie diverse,1750,166.800003,60.0
Rubanerie et passementerie de soie,1750,3745.0,
Savon,1750,37510.898,242.5
Salpêtre et soufre,1750,27.5,26447.89901
Graisses diverses,1750,5057.6001,71944.398
Tabac,1750,1916.699997,4390.0
Marbre brut et ouvré,1750,180.0,
Thé,1750,600.0,4005.0
Toiles de coton,1750,233052.0,23252.0
Verdet,1750,137.3,98.0
Vin de liqueurs,1750,1800.0,
"Cornes, corail, écailles, ivoire et nacre",1750,23360.0,20841.0
Drogues médicinales diverses,1750,1080.0,80459.299999
Combustibles dont charbons et bois,1750,,146133.8
Mercure,1750,,330.0
Azur et cobalt,1750,,5114.3999
Sels chimiques,1750,,194.2
Cochenille,1750,,48.0
Colles diverses,1750,,856.0
Coton non transformé,1750,,111030.5
Étain,1750,,900.0
Galle,1750,,72.0
Garance,1750,,10528.0
Graines grasses,1750,,660.0
Huile de poisson,1750,,63905.5
Laines non transformées diverses,1750,,27622.5
Lin,1750,,1979.3
Plumes ouvrées,1750,,249.0
Quinquina,1750,,72.0
Salsepareille,1750,,92.5
Séné,1750,,15.0
Cuivre,1750,,1000.0
Plumes brutes,1750,,15.0
Riz,1750,,98.0
